query_id,query_text,relevant_doc_ids
Q01,저자 김민수의 문서를 모두 보여줘,D1=1;D11=1;D21=1
Q02,저자 이영희의 문서를 모두 보여줘,D2=1;D12=1;D22=1
Q03,저자 박지훈의 문서를 모두 보여줘,D3=1;D13=1;D23=1
Q04,저자 최수정의 문서를 모두 보여줘,D4=1;D14=1;D24=1
Q05,저자 정우성의 문서를 모두 보여줘,D5=1;D15=1;D25=1
Q06,저자 한예슬의 문서를 모두 보여줘,D6=1;D16=1;D26=1
Q07,저자 강다니엘의 문서를 모두 보여줘,D7=1;D17=1;D27=1
Q08,저자 오정연의 문서를 모두 보여줘,D8=1;D18=1;D28=1
Q09,저자 신동엽의 문서를 모두 보여줘,D9=1;D19=1;D29=1
Q10,저자 윤아름의 문서를 모두 보여줘,D10=1;D20=1;D30=1
Q11,카테고리 AI에 해당하는 문서를 찾아줘,D7=1;D28=1;D29=1;D30=1
Q12,카테고리 건강에 해당하는 문서를 찾아줘,D11=1;D13=1
Q13,카테고리 검색에 해당하는 문서를 찾아줘,D28=1;D29=1;D30=1
Q14,카테고리 게임에 해당하는 문서를 찾아줘,D21=1
Q15,카테고리 과학에 해당하는 문서를 찾아줘,D6=1;D14=1;D26=1
Q16,카테고리 교육에 해당하는 문서를 찾아줘,D4=1
Q17,카테고리 교통에 해당하는 문서를 찾아줘,D8=1
Q18,카테고리 군사에 해당하는 문서를 찾아줘,D5=1
Q19,카테고리 기술에 해당하는 문서를 찾아줘,D7=1;D14=1;D18=1;D19=1;D20=1;D21=1;D22=1;D23=1;D24=1;D25=1;D26=1;D27=1;D28=1;D29=1;D30=1
Q20,카테고리 데이터베이스에 해당하는 문서를 찾아줘,D27=1
Q21,저자 김민수이(가) 쓴 AI 카테고리 문서를 보여줘,D1=1;D11=1;D21=1
Q22,저자 이영희이(가) 쓴 건강 카테고리 문서를 보여줘,D2=1;D12=1;D22=1
Q23,저자 박지훈이(가) 쓴 검색 카테고리 문서를 보여줘,D3=1;D13=1;D23=1
Q24,저자 최수정이(가) 쓴 게임 카테고리 문서를 보여줘,D4=1;D14=1;D24=1
Q25,저자 정우성이(가) 쓴 과학 카테고리 문서를 보여줘,D5=1;D15=1;D25=1
Q26,카테고리가 AI이거나 건강인 문서를 보여줘,D7=1;D11=1;D13=1;D28=1;D29=1;D30=1
Q27,카테고리가 건강이거나 검색인 문서를 보여줘,D11=1;D13=1;D28=1;D29=1;D30=1
Q28,카테고리가 검색이거나 게임인 문서를 보여줘,D21=1;D28=1;D29=1;D30=1
Q29,카테고리가 게임이거나 과학인 문서를 보여줘,D6=1;D14=1;D21=1;D26=1
Q30,카테고리가 과학이거나 교육인 문서를 보여줘,D4=1;D6=1;D14=1;D26=1

